Trees;Instances;Features;Max;Avg
1;265;8;76.2963;72
1;265;9;72.2222;69
1;270;2;76.2963;67.3333
1;270;3;70.3704;68
1;270;4;77.4074;75.6667
1;270;5;76.6667;68.3333
1;270;6;70.3704;67.6667
1;270;7;71.8519;67.6667
1;270;8;71.8519;68.6667
1;270;9;72.2222;68.3333
1;275;2;68.1481;61.6667
1;275;3;75.9259;69
1;275;4;72.2222;63.6667
1;275;5;75.1852;66.6667
1;275;6;67.7778;63.6667
1;275;7;72.963;67.6667
1;275;8;76.2963;68.3333
1;275;9;71.1111;68.6667
1;280;2;72.2222;65.6667
1;280;3;69.6296;66.6667
1;280;4;78.8889;75
1;280;5;70.3704;68.3333
1;280;6;69.6296;68
1;280;7;71.8519;67.6667
1;280;8;64.8148;59.3333
1;280;9;77.7778;73
1;285;2;67.7778;65
1;285;3;74.8148;71.3333
1;285;4;72.5926;64.6667
1;285;5;72.963;66
1;285;6;77.037;71
1;285;7;67.7778;66.3333
1;285;8;74.8148;73.3333
1;285;9;66.6667;64
2;5;2;63.7037;58.6667
2;5;3;61.1111;55.3333
2;5;4;63.7037;60.3333
2;5;5;67.7778;62
2;5;6;65.9259;61
2;5;7;61.8519;54.6667
2;5;8;68.5185;65
2;5;9;70.3704;59
2;10;2;62.2222;58.6667
2;10;3;68.8889;62.3333
2;10;4;59.2593;56.6667
2;10;5;59.6296;57.6667
2;10;6;64.8148;59
2;10;7;63.3333;60.3333
2;10;8;68.8889;60.6667
2;10;9;66.2963;55
2;15;2;70.3704;65
2;15;3;68.5185;66
2;15;4;60.3704;55.3333
2;15;5;67.037;60
2;15;6;68.5185;61.6667
2;15;7;63.3333;60.6667
2;15;8;69.2593;62
2;15;9;59.2593;57.6667
2;20;2;68.5185;64
2;20;3;61.8519;58.3333
2;20;4;65.5556;64.6667
2;20;5;65.5556;59.6667
2;20;6;68.1481;64.3333
2;20;7;63.7037;61.3333
2;20;8;64.8148;63
2;20;9;63.3333;59.6667
2;25;2;67.037;62.3333
2;25;3;69.2593;65
2;25;4;63.7037;62.3333
2;25;5;63.3333;60.6667
2;25;6;68.8889;66.6667
2;25;7;62.963;61
2;25;8;62.963;58.6667
2;25;9;60.7407;57.6667
2;30;2;71.1111;69.3333
2;30;3;68.8889;62.6667
2;30;4;66.2963;64
2;30;5;68.1481;61.6667
2;30;6;68.1481;66
2;30;7;63.3333;60.3333
2;30;8;64.4444;61.6667
2;30;9;65.5556;62.3333
2;35;2;72.5926;65
2;35;3;70.3704;64.6667
2;35;4;69.6296;66.3333
2;35;5;66.6667;62
2;35;6;65.9259;62.3333
2;35;7;68.1481;65
2;35;8;64.4444;62.6667
2;35;9;69.6296;65.3333
2;40;2;67.7778;66.6667
2;40;3;67.7778;66.3333
2;40;4;67.037;65.3333
2;40;5;65.1852;62.3333
2;40;6;70.3704;65
2;40;7;66.2963;65
2;40;8;70;65
2;40;9;67.037;64.6667
2;45;2;67.4074;63.3333
2;45;3;70.3704;67
2;45;4;61.1111;58.6667
2;45;5;65.9259;61.6667
2;45;6;70;65.6667
2;45;7;69.6296;66.3333
2;45;8;65.1852;59.6667
2;45;9;70;65
2;50;2;74.4444;68.3333
2;50;3;68.8889;63.3333
2;50;4;73.7037;64
2;50;5;68.8889;66
2;50;6;68.5185;67
2;50;7;64.8148;62.3333
2;50;8;68.1481;66.3333
2;50;9;64.8148;63.3333
2;55;2;67.037;64
2;55;3;67.037;61.6667
2;55;4;62.5926;58.6667
2;55;5;69.6296;65.6667
2;55;6;65.1852;64.3333
2;55;7;71.8519;65
2;55;8;66.6667;62.6667
2;55;9;68.8889;65
2;60;2;75.5556;70.6667
2;60;3;70.7407;66
2;60;4;71.8519;68.6667
2;60;5;67.4074;60
2;60;6;71.4815;64
2;60;7;65.9259;62.3333
2;60;8;69.2593;62.3333
2;60;9;67.7778;65.6667
2;65;2;74.8148;67
2;65;3;75.1852;67.6667
2;65;4;74.8148;67.3333
2;65;5;74.8148;70.3333
2;65;6;70;67.3333
2;65;7;68.1481;66.3333
2;65;8;67.4074;65.6667
2;65;9;68.8889;65.6667
2;70;2;70.3704;63.6667
2;70;3;75.9259;69.3333
2;70;4;68.5185;61.3333
2;70;5;68.8889;65
2;70;6;72.963;62
2;70;7;71.8519;68
2;70;8;71.4815;67.6667
2;70;9;68.5185;66.3333
2;75;2;71.4815;68.3333
2;75;3;73.7037;66.6667
2;75;4;70.7407;68.6667
2;75;5;68.8889;66.6667
2;75;6;71.1111;64
2;75;7;67.4074;65.6667
2;75;8;69.2593;67
2;75;9;69.2593;64.6667
2;80;2;72.963;65.3333
2;80;3;73.7037;69.3333
2;80;4;74.0741;68.6667
2;80;5;71.8519;66.3333
2;80;6;71.1111;67.6667
2;80;7;65.1852;64.6667
2;80;8;68.5185;64.6667
2;80;9;66.6667;63.3333
2;85;2;68.1481;65.6667
2;85;3;69.2593;67
2;85;4;70.7407;69.6667
2;85;5;75.1852;72
2;85;6;71.4815;65.6667
2;85;7;68.1481;60
2;85;8;71.1111;69
2;85;9;71.1111;69.6667
2;90;2;70;67
2;90;3;72.5926;66.3333
2;90;4;74.0741;67.3333
2;90;5;71.4815;70.3333
2;90;6;67.037;66
2;90;7;71.8519;69
2;90;8;72.963;64.3333
2;90;9;59.6296;57.3333
2;95;2;75.5556;64.3333
2;95;3;69.2593;67
2;95;4;75.9259;69.6667
2;95;5;69.2593;64.6667
2;95;6;71.4815;64
2;95;7;70.3704;68.6667
2;95;8;69.6296;65.6667
2;95;9;69.6296;62
2;100;2;64.4444;59.3333
2;100;3;74.8148;70.6667
2;100;4;73.7037;66.6667
2;100;5;69.6296;64
2;100;6;72.2222;67.6667
2;100;7;70.3704;68.6667
2;100;8;73.7037;67
2;100;9;72.963;66
2;105;2;71.1111;66.6667
2;105;3;72.2222;67
2;105;4;76.2963;71
2;105;5;74.0741;71
2;105;6;72.2222;67.3333
2;105;7;76.2963;71
2;105;8;71.4815;68.3333
2;105;9;68.1481;64.6667
2;110;2;74.8148;68.3333
2;110;3;70.7407;66.6667
2;110;4;74.4444;69.3333
2;110;5;67.7778;64.6667
2;110;6;74.8148;69.6667
2;110;7;77.7778;71.6667
2;110;8;74.8148;69.6667
2;110;9;70.7407;66.6667
2;115;2;68.5185;59.6667
2;115;3;74.4444;71
2;115;4;74.0741;71.6667
2;115;5;72.5926;70.3333
2;115;6;73.3333;71.3333
2;115;7;73.3333;69
2;115;8;71.8519;63.6667
2;115;9;74.4444;68.6667
2;120;2;76.2963;65
2;120;3;75.5556;68
2;120;4;69.6296;65.3333
2;120;5;76.2963;74.3333
2;120;6;76.6667;74.3333
2;120;7;71.8519;64
2;120;8;67.037;61.3333
2;120;9;76.2963;71
2;125;2;70.3704;65
2;125;3;69.6296;66.6667
2;125;4;73.3333;69
2;125;5;75.9259;71
2;125;6;73.7037;64.3333
2;125;7;66.2963;58.6667
2;125;8;71.4815;64.6667
2;125;9;72.5926;66
2;130;2;69.2593;66.3333
2;130;3;71.4815;66.3333
2;130;4;70;67.3333
2;130;5;68.1481;58.3333
2;130;6;68.1481;60.3333
2;130;7;75.1852;60
2;130;8;77.4074;68.6667
2;130;9;72.2222;66
2;135;2;68.5185;65.3333
2;135;3;70.3704;68
2;135;4;72.2222;70.3333
2;135;5;65.5556;61
2;135;6;74.0741;70.6667
2;135;7;69.6296;68.3333
2;135;8;68.8889;65.3333
2;135;9;77.7778;68
2;140;2;75.9259;63.3333
2;140;3;71.4815;69.3333
2;140;4;78.5185;69.3333
2;140;5;68.8889;66
2;140;6;71.8519;67.3333
2;140;7;74.4444;68.6667
2;140;8;74.0741;67
2;140;9;69.2593;61.3333
2;145;2;68.8889;65.3333
2;145;3;77.4074;66
2;145;4;70;68.3333
2;145;5;71.4815;66.3333
2;145;6;65.1852;62.3333
2;145;7;75.5556;68.6667
2;145;8;73.3333;62.3333
2;145;9;68.8889;61.6667
2;150;2;71.1111;69
2;150;3;72.5926;67
2;150;4;68.5185;67.3333
2;150;5;71.8519;68
2;150;6;70.3704;65
2;150;7;76.2963;74
2;150;8;78.5185;68
2;150;9;76.6667;68
2;155;2;75.5556;72
2;155;3;70;64.3333
2;155;4;73.3333;68.3333
2;155;5;73.7037;68.3333
2;155;6;70.3704;67.3333
2;155;7;75.5556;63.3333
2;155;8;71.4815;70
2;155;9;76.6667;75.6667
2;160;2;70.7407;65.6667
2;160;3;68.1481;65.3333
2;160;4;76.6667;73.6667
2;160;5;68.1481;63
2;160;6;79.2593;76
2;160;7;67.7778;62
2;160;8;75.9259;67.6667
2;160;9;75.9259;71.6667
2;165;2;74.4444;70
2;165;3;76.2963;73.3333
2;165;4;67.7778;65.6667
2;165;5;69.2593;67.3333
2;165;6;77.037;69.3333
2;165;7;77.4074;71
2;165;8;76.2963;69
2;165;9;72.2222;68.6667
2;170;2;77.037;70
2;170;3;74.4444;70.3333
2;170;4;64.0741;63.3333
2;170;5;73.3333;69
2;170;6;70;66.6667
2;170;7;76.6667;73.3333
2;170;8;69.6296;66
2;170;9;75.1852;68
2;175;2;68.5185;64.6667
2;175;3;71.8519;66.6667
2;175;4;76.2963;72
2;175;5;73.3333;69.3333
2;175;6;70.3704;66.6667
2;175;7;76.2963;72
2;175;8;75.1852;64.3333
2;175;9;74.0741;70.3333
2;180;2;72.5926;68.3333
2;180;3;64.8148;62.3333
2;180;4;71.1111;70.3333
2;180;5;76.2963;68.3333
2;180;6;73.7037;67
2;180;7;69.6296;68.3333
2;180;8;76.6667;70.3333
2;180;9;76.2963;73.6667
2;185;2;72.963;69.3333
2;185;3;68.8889;60
2;185;4;73.3333;71
2;185;5;74.4444;63.6667
2;185;6;71.1111;65.3333
2;185;7;73.3333;65.3333
2;185;8;71.8519;65.3333
2;185;9;77.037;70
2;190;2;72.963;68
2;190;3;72.2222;68.3333
2;190;4;74.4444;69
2;190;5;74.0741;70.3333
2;190;6;76.2963;70
2;190;7;71.4815;68
2;190;8;77.037;72.6667
2;190;9;71.4815;67
2;195;2;63.3333;60.3333
2;195;3;72.5926;71.3333
2;195;4;67.4074;61
2;195;5;74.0741;70
2;195;6;72.963;70
2;195;7;71.8519;69
2;195;8;75.5556;70
2;195;9;75.1852;68.6667
2;200;2;74.8148;67
2;200;3;77.037;69.3333
2;200;4;71.4815;68.3333
2;200;5;77.037;69.3333
2;200;6;75.9259;70.6667
2;200;7;69.6296;64.6667
2;200;8;68.1481;65.6667
2;200;9;77.037;71.6667
2;205;2;73.3333;68.6667
2;205;3;68.1481;65.3333
2;205;4;78.5185;72.6667
2;205;5;74.8148;71.3333
2;205;6;72.2222;65.3333
2;205;7;72.5926;70
